No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Carmel vs Westfield",Football,"Indiana",08/28/2026,07:00 PM,"The Westfield varsity football team has an away non-conference game @ Carmel (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/carmel-vs-westfield/8-28-2026/?c=fdcdc448-a6c2-4baf-b403-feafb3cfa04c","https://www.maxpreps.com/in/football/game/carmel-vs-westfield/8-28-2026/?c=fdcdc448-a6c2-4baf-b403-feafb3cfa04c"
2,"East Central St Leon vs New Palestine",Football,"Indiana",08/28/2026,07:00 PM,"The New Palestine varsity football team has an away non-conference game @ East Central St Leon (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/east-central-st-leon-vs-new-palestine/8-28-2026/?c=cf671c83-a95a-48bc-9148-c4fadcca6256","https://www.maxpreps.com/in/football/game/east-central-st-leon-vs-new-palestine/8-28-2026/?c=cf671c83-a95a-48bc-9148-c4fadcca6256"
3,"Batesville vs Milan",Football,"Indiana",08/28/2026,07:00 PM,"The Milan varsity football team has an away non-conference game @ Batesville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/batesville-vs-milan/8-28-2026/?c=e8d24faa-ddb5-44a6-b19a-6431a0d87149","https://www.maxpreps.com/in/football/game/batesville-vs-milan/8-28-2026/?c=e8d24faa-ddb5-44a6-b19a-6431a0d87149"
4,"Evansville Bosse vs Evansville Central",Football,"Indiana",08/28/2026,07:00 PM,"The Evansville Central varsity football team has an away non-conference game @ Evansville Bosse (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/evansville-bosse-vs-evansville-central/8-28-2026/?c=f0df2c6e-942b-4434-8b51-74099c3e7a38","https://www.maxpreps.com/in/football/game/evansville-bosse-vs-evansville-central/8-28-2026/?c=f0df2c6e-942b-4434-8b51-74099c3e7a38"
5,"Castle Newburgh vs Evansville Mater Dei",Football,"Indiana",08/28/2026,07:00 PM,"The Evansville Mater Dei varsity football team has an away non-conference game @ Castle Newburgh (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/castle-newburgh-vs-evansville-mater-dei/8-28-2026/?c=722c78a8-9b03-4439-ade2-62de3037357a","https://www.maxpreps.com/in/football/game/castle-newburgh-vs-evansville-mater-dei/8-28-2026/?c=722c78a8-9b03-4439-ade2-62de3037357a"
6,"Evansville Memorial vs Evansville North",Football,"Indiana",08/28/2026,07:00 PM,"The Evansville North varsity football team has an away non-conference game @ Evansville Memorial (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/evansville-memorial-vs-evansville-north/8-28-2026/?c=809e5ec6-8444-4f71-9d97-9b7d9d54c704","https://www.maxpreps.com/in/football/game/evansville-memorial-vs-evansville-north/8-28-2026/?c=809e5ec6-8444-4f71-9d97-9b7d9d54c704"
7,"Crown Point vs Pike Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Pike Indianapolis varsity football team has an away non-conference game @ Crown Point (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/crown-point-vs-pike-indianapolis/8-28-2026/?c=1cfaed05-5ae9-4ccb-a332-f1ec636be0eb","https://www.maxpreps.com/in/football/game/crown-point-vs-pike-indianapolis/8-28-2026/?c=1cfaed05-5ae9-4ccb-a332-f1ec636be0eb"
8,"Knox vs Pioneer Royal Center",Football,"Indiana",08/28/2026,07:00 PM,"The Pioneer Royal Center varsity football team has an away non-conference game @ Knox (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/knox-vs-pioneer-royal-center/8-28-2026/?c=08da41cd-6153-4a9b-b49d-ebed6ccb106a","https://www.maxpreps.com/in/football/game/knox-vs-pioneer-royal-center/8-28-2026/?c=08da41cd-6153-4a9b-b49d-ebed6ccb106a"
9,"Lafayette Jefferson vs Merrillville",Football,"Indiana",08/28/2026,07:00 PM,"The Merrillville varsity football team has an away non-conference game @ Lafayette Jefferson (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/lafayette-jefferson-vs-merrillville/8-28-2026/?c=9aca682a-4e88-4557-a950-bdb3bfc01dfd","https://www.maxpreps.com/in/football/game/lafayette-jefferson-vs-merrillville/8-28-2026/?c=9aca682a-4e88-4557-a950-bdb3bfc01dfd"
10,"New Prairie New Carlisle vs Northwood Nappanee",Football,"Indiana",08/28/2026,07:00 PM,"The Northwood Nappanee varsity football team has an away non-conference game @ New Prairie New Carlisle (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/new-prairie-new-carlisle-vs-northwood-nappanee/8-28-2026/?c=8ed9d04e-a0c7-4c82-a37f-20b392c51c24","https://www.maxpreps.com/in/football/game/new-prairie-new-carlisle-vs-northwood-nappanee/8-28-2026/?c=8ed9d04e-a0c7-4c82-a37f-20b392c51c24"
11,"Northeastern Fountain City vs Shenandoah Middletown",Football,"Indiana",08/28/2026,07:00 PM,"The Shenandoah Middletown varsity football team has an away non-conference game @ Northeastern Fountain City (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/northeastern-fountain-city-vs-shenandoah-middletown/8-28-2026/?c=269b0784-6b01-4249-97b7-8f68f736dbe3","https://www.maxpreps.com/in/football/game/northeastern-fountain-city-vs-shenandoah-middletown/8-28-2026/?c=269b0784-6b01-4249-97b7-8f68f736dbe3"
12,"Southridge Huntingburg vs Washington Hatch",Football,"Indiana",08/28/2026,07:00 PM,"The Washington Hatch varsity football team has an away non-conference game @ Southridge Huntingburg (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/southridge-huntingburg-vs-washington-hatch/8-28-2026/?c=460ff4e9-f775-45c9-a941-9a1a53d44079","https://www.maxpreps.com/in/football/game/southridge-huntingburg-vs-washington-hatch/8-28-2026/?c=460ff4e9-f775-45c9-a941-9a1a53d44079"
13,"Clinton Central Michigantown vs Faith Christian Lafayette",Football,"Indiana",08/28/2026,07:00 PM,"The Faith Christian Lafayette varsity football team has an away non-conference game @ Clinton Central Michigantown (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/clinton-central-michigantown-vs-faith-christian-lafayette/8-28-2026/?c=303400e0-2554-4d9a-ae50-a7c188d26d93","https://www.maxpreps.com/in/football/game/clinton-central-michigantown-vs-faith-christian-lafayette/8-28-2026/?c=303400e0-2554-4d9a-ae50-a7c188d26d93"
14,"Bloomington South vs Martinsville",Football,"Indiana",08/28/2026,07:00 PM,"The Martinsville varsity football team has an away non-conference game @ Bloomington South (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/bloomington-south-vs-martinsville/8-28-2026/?c=96be9500-9f1e-4d71-81a7-7bfe19e9c0f3","https://www.maxpreps.com/in/football/game/bloomington-south-vs-martinsville/8-28-2026/?c=96be9500-9f1e-4d71-81a7-7bfe19e9c0f3"
15,"Goshen vs South Bend Washington",Football,"Indiana",08/28/2026,07:00 PM,"The South Bend Washington varsity football team has an away non-conference game @ Goshen (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/goshen-vs-south-bend-washington/8-28-2026/?c=c9f4afb3-b473-4216-ab70-caaf2c95fdc3","https://www.maxpreps.com/in/football/game/goshen-vs-south-bend-washington/8-28-2026/?c=c9f4afb3-b473-4216-ab70-caaf2c95fdc3"
16,"Heritage Christian Indianapolis vs Indian Creek Trafalgar",Football,"Indiana",08/28/2026,07:00 PM,"The Indian Creek Trafalgar varsity football team has an away non-conference game @ Heritage Christian Indianapolis (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/heritage-christian-indianapolis-vs-indian-creek-trafalgar/8-28-2026/?c=44a0a278-578d-427c-b1b6-b8ca13744b87","https://www.maxpreps.com/in/football/game/heritage-christian-indianapolis-vs-indian-creek-trafalgar/8-28-2026/?c=44a0a278-578d-427c-b1b6-b8ca13744b87"
17,"Hanover Central Cedar Lake vs Lake Central St John",Football,"Indiana",08/28/2026,07:00 PM,"The Lake Central St John varsity football team has an away non-conference game @ Hanover Central Cedar Lake (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/hanover-central-cedar-lake-vs-lake-central-st-john/8-28-2026/?c=4505783d-e827-46c4-a68b-75d85becf446","https://www.maxpreps.com/in/football/game/hanover-central-cedar-lake-vs-lake-central-st-john/8-28-2026/?c=4505783d-e827-46c4-a68b-75d85becf446"
18,"Brown County Nashville vs Crawford County Marengo",Football,"Indiana",08/28/2026,07:00 PM,"The Crawford County Marengo varsity football team has an away non-conference game @ Brown County Nashville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/brown-county-nashville-vs-crawford-county-marengo/8-28-2026/?c=0bcc520f-6ad5-4cb8-8108-561b92aef321","https://www.maxpreps.com/in/football/game/brown-county-nashville-vs-crawford-county-marengo/8-28-2026/?c=0bcc520f-6ad5-4cb8-8108-561b92aef321"
19,"Fort Wayne North Side vs New Haven",Football,"Indiana",08/28/2026,07:00 PM,"The New Haven varsity football team has an away non-conference game @ Fort Wayne North Side (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/fort-wayne-north-side-vs-new-haven/8-28-2026/?c=4e11119e-2182-40e9-b7b1-e9958dbe63cf","https://www.maxpreps.com/in/football/game/fort-wayne-north-side-vs-new-haven/8-28-2026/?c=4e11119e-2182-40e9-b7b1-e9958dbe63cf"
20,"Benton Central Oxford vs Seeger West Lebanon",Football,"Indiana",08/28/2026,07:00 PM,"The Seeger West Lebanon varsity football team has an away non-conference game @ Benton Central Oxford (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/benton-central-oxford-vs-seeger-west-lebanon/8-28-2026/?c=9c8ea50c-1dad-438e-8dd2-12b12111925b","https://www.maxpreps.com/in/football/game/benton-central-oxford-vs-seeger-west-lebanon/8-28-2026/?c=9c8ea50c-1dad-438e-8dd2-12b12111925b"
21,"Mooresville vs Terre Haute North Vigo",Football,"Indiana",08/28/2026,07:00 PM,"The Terre Haute North Vigo varsity football team has an away non-conference game @ Mooresville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/mooresville-vs-terre-haute-north-vigo/8-28-2026/?c=01b79706-080b-40f2-a94e-794d52ce847a","https://www.maxpreps.com/in/football/game/mooresville-vs-terre-haute-north-vigo/8-28-2026/?c=01b79706-080b-40f2-a94e-794d52ce847a"
22,"Angola vs Dekalb Waterloo",Football,"Indiana",08/28/2026,07:00 PM,"The Dekalb Waterloo varsity football team has an away non-conference game @ Angola (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/angola-vs-dekalb-waterloo/8-28-2026/?c=93ea173b-5368-40a6-98f5-dfec8b09bd9d","https://www.maxpreps.com/in/football/game/angola-vs-dekalb-waterloo/8-28-2026/?c=93ea173b-5368-40a6-98f5-dfec8b09bd9d"
23,"Calumet Christian Griffith vs Purdue Poly Englewood Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Purdue Poly Englewood Indianapolis varsity football team has an away non-conference game @ Calumet Christian Griffith (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/calumet-christian-griffith-vs-purdue-poly-englewood-indianapolis/8-28-2026/?c=b7840b3e-b5d5-4bb4-be6a-f249308e38bc","https://www.maxpreps.com/in/football/game/calumet-christian-griffith-vs-purdue-poly-englewood-indianapolis/8-28-2026/?c=b7840b3e-b5d5-4bb4-be6a-f249308e38bc"
24,"Fairfield Goshen vs Glenn Walkerton",Football,"Indiana",08/28/2026,07:00 PM,"The Glenn Walkerton varsity football team has an away non-conference game @ Fairfield Goshen (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/fairfield-goshen-vs-glenn-walkerton/8-28-2026/?c=099f5448-129b-43fd-8253-cd3164b2b16b","https://www.maxpreps.com/in/football/game/fairfield-goshen-vs-glenn-walkerton/8-28-2026/?c=099f5448-129b-43fd-8253-cd3164b2b16b"
25,"Hamilton Southeastern Fishers vs North Central Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The North Central Indianapolis varsity football team has an away non-conference game @ Hamilton Southeastern Fishers (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/hamilton-southeastern-fishers-vs-north-central-indianapolis/8-28-2026/?c=38f5a219-6ba9-4ec3-942f-65b8a3aae30b","https://www.maxpreps.com/in/football/game/hamilton-southeastern-fishers-vs-north-central-indianapolis/8-28-2026/?c=38f5a219-6ba9-4ec3-942f-65b8a3aae30b"
26,"Hobart vs Portage",Football,"Indiana",08/28/2026,07:00 PM,"The Portage varsity football team has an away non-conference game @ Hobart (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/hobart-vs-portage/8-28-2026/?c=932021b3-fbf9-4093-a63c-b2d60bd1d2e3","https://www.maxpreps.com/in/football/game/hobart-vs-portage/8-28-2026/?c=932021b3-fbf9-4093-a63c-b2d60bd1d2e3"
27,"North Montgomery Crawfordsville vs Western Russiaville",Football,"Indiana",08/28/2026,07:00 PM,"The Western Russiaville varsity football team has an away non-conference game @ North Montgomery Crawfordsville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/north-montgomery-crawfordsville-vs-western-russiaville/8-28-2026/?c=8abff783-0414-4390-8b8b-dca408d1890a","https://www.maxpreps.com/in/football/game/north-montgomery-crawfordsville-vs-western-russiaville/8-28-2026/?c=8abff783-0414-4390-8b8b-dca408d1890a"
28,"Madison Grant Fairmount vs Southwood Wabash",Football,"Indiana",08/28/2026,07:00 PM,"The Southwood Wabash varsity football team has an away non-conference game @ Madison Grant Fairmount (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/madison-grant-fairmount-vs-southwood-wabash/8-28-2026/?c=cc75fa03-732c-4143-ba56-c6ba697325c6","https://www.maxpreps.com/in/football/game/madison-grant-fairmount-vs-southwood-wabash/8-28-2026/?c=cc75fa03-732c-4143-ba56-c6ba697325c6"
29,"Jennings County North Vernon vs Madison",Football,"Indiana",08/28/2026,07:00 PM,"The Madison varsity football team has an away non-conference game @ Jennings County North Vernon (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/jennings-county-north-vernon-vs-madison/8-28-2026/?c=f5633779-dedd-492e-95c4-7aa11eb466f6","https://www.maxpreps.com/in/football/game/jennings-county-north-vernon-vs-madison/8-28-2026/?c=f5633779-dedd-492e-95c4-7aa11eb466f6"
30,"Covenant Christian Indianapolis vs Indianapolis Shortridge",Football,"Indiana",08/28/2026,07:00 PM,"The Indianapolis Shortridge varsity football team has an away non-conference game @ Covenant Christian Indianapolis (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/covenant-christian-indianapolis-vs-indianapolis-shortridge/8-28-2026/?c=b336a59d-303f-4aab-84f1-35a9d5f7b31a","https://www.maxpreps.com/in/football/game/covenant-christian-indianapolis-vs-indianapolis-shortridge/8-28-2026/?c=b336a59d-303f-4aab-84f1-35a9d5f7b31a"
31,"North Harrison Ramsey vs Scottsburg",Football,"Indiana",08/28/2026,07:00 PM,"The Scottsburg varsity football team has an away non-conference game @ North Harrison Ramsey (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/north-harrison-ramsey-vs-scottsburg/8-28-2026/?c=fd057b7b-c978-4306-b2dc-608a1a171082","https://www.maxpreps.com/in/football/game/north-harrison-ramsey-vs-scottsburg/8-28-2026/?c=fd057b7b-c978-4306-b2dc-608a1a171082"
32,"North Miami Denver vs Taylor Kokomo",Football,"Indiana",08/28/2026,07:00 PM,"The Taylor Kokomo varsity football team has an away non-conference game @ North Miami Denver (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/north-miami-denver-vs-taylor-kokomo/8-28-2026/?c=d325f960-c371-401d-aeb7-0014375e9300","https://www.maxpreps.com/in/football/game/north-miami-denver-vs-taylor-kokomo/8-28-2026/?c=d325f960-c371-401d-aeb7-0014375e9300"
33,"Manchester North Manchester vs Tipton",Football,"Indiana",08/28/2026,07:00 PM,"The Tipton varsity football team has an away non-conference game @ Manchester North Manchester (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/manchester-north-manchester-vs-tipton/8-28-2026/?c=c98c2c56-a1a2-4049-8ec7-cf40b255b728","https://www.maxpreps.com/in/football/game/manchester-north-manchester-vs-tipton/8-28-2026/?c=c98c2c56-a1a2-4049-8ec7-cf40b255b728"
34,"Elwood vs Tri Central Sharpsville",Football,"Indiana",08/28/2026,07:00 PM,"The Tri Central Sharpsville varsity football team has an away non-conference game @ Elwood (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/elwood-vs-tri-central-sharpsville/8-28-2026/?c=fe5e2f27-c8f0-4139-a10b-2f217f6e7226","https://www.maxpreps.com/in/football/game/elwood-vs-tri-central-sharpsville/8-28-2026/?c=fe5e2f27-c8f0-4139-a10b-2f217f6e7226"
35,"Kokomo vs Terre Haute South Vigo",Football,"Indiana",08/28/2026,07:00 PM,"The Terre Haute South Vigo varsity football team has an away non-conference game @ Kokomo (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/kokomo-vs-terre-haute-south-vigo/8-28-2026/?c=68300423-83e0-42ef-bae8-49ae60372909","https://www.maxpreps.com/in/football/game/kokomo-vs-terre-haute-south-vigo/8-28-2026/?c=68300423-83e0-42ef-bae8-49ae60372909"
36,"Franklin Community vs Greenwood",Football,"Indiana",08/28/2026,07:00 PM,"The Greenwood varsity football team has an away non-conference game @ Franklin Community (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/franklin-community-vs-greenwood/8-28-2026/?c=a8491d10-274a-4f4c-bb32-3f04d819299e","https://www.maxpreps.com/in/football/game/franklin-community-vs-greenwood/8-28-2026/?c=a8491d10-274a-4f4c-bb32-3f04d819299e"
37,"Culver Academies vs Mishawaka Marian",Football,"Indiana",08/28/2026,07:00 PM,"The Mishawaka Marian varsity football team has an away non-conference game @ Culver Academies (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/culver-academies-vs-mishawaka-marian/8-28-2026/?c=cd28be2e-b03c-465b-8518-3f58307f06f9","https://www.maxpreps.com/in/football/game/culver-academies-vs-mishawaka-marian/8-28-2026/?c=cd28be2e-b03c-465b-8518-3f58307f06f9"
38,"East Chicago Central vs Gary West Side",Football,"Indiana",08/28/2026,07:00 PM,"The Gary West Side varsity football team has an away non-conference game @ East Chicago Central (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/east-chicago-central-vs-gary-west-side/8-28-2026/?c=095e28bb-45dc-4ace-802c-5c9360cf8412","https://www.maxpreps.com/in/football/game/east-chicago-central-vs-gary-west-side/8-28-2026/?c=095e28bb-45dc-4ace-802c-5c9360cf8412"
39,"Eastbrook Marion vs Fort Wayne Concordia Lutheran",Football,"Indiana",08/28/2026,07:00 PM,"The Fort Wayne Concordia Lutheran varsity football team has an away non-conference game @ Eastbrook Marion (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/eastbrook-marion-vs-fort-wayne-concordia-lutheran/8-28-2026/?c=bee24e32-d432-43b2-9b79-5908cdacf427","https://www.maxpreps.com/in/football/game/eastbrook-marion-vs-fort-wayne-concordia-lutheran/8-28-2026/?c=bee24e32-d432-43b2-9b79-5908cdacf427"
40,"Fort Wayne Northrop vs Warsaw",Football,"Indiana",08/28/2026,07:00 PM,"The Warsaw varsity football team has an away non-conference game @ Fort Wayne Northrop (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/fort-wayne-northrop-vs-warsaw/8-28-2026/?c=2741b93c-e2f0-4cef-a3f7-8f1ec340275c","https://www.maxpreps.com/in/football/game/fort-wayne-northrop-vs-warsaw/8-28-2026/?c=2741b93c-e2f0-4cef-a3f7-8f1ec340275c"
41,"Connersville vs Franklin County Brookville",Football,"Indiana",08/28/2026,07:00 PM,"The Franklin County Brookville varsity football team has an away non-conference game @ Connersville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/connersville-vs-franklin-county-brookville/8-28-2026/?c=36c1bb1b-98b6-43b5-9f6b-18423c31cdbc","https://www.maxpreps.com/in/football/game/connersville-vs-franklin-county-brookville/8-28-2026/?c=36c1bb1b-98b6-43b5-9f6b-18423c31cdbc"
42,"Jay County Portland vs New Castle",Football,"Indiana",08/28/2026,07:00 PM,"The New Castle varsity football team has an away non-conference game @ Jay County Portland (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/jay-county-portland-vs-new-castle/8-28-2026/?c=05152989-61e0-4de9-a73e-ab4c20994c78","https://www.maxpreps.com/in/football/game/jay-county-portland-vs-new-castle/8-28-2026/?c=05152989-61e0-4de9-a73e-ab4c20994c78"
43,"Cambridge City Lincoln vs Union County Liberty",Football,"Indiana",08/28/2026,07:00 PM,"The Union County Liberty varsity football team has an away non-conference game @ Cambridge City Lincoln (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/cambridge-city-lincoln-vs-union-county-liberty/8-28-2026/?c=0849e986-df51-4b65-b443-cb168f1cf84a","https://www.maxpreps.com/in/football/game/cambridge-city-lincoln-vs-union-county-liberty/8-28-2026/?c=0849e986-df51-4b65-b443-cb168f1cf84a"
44,"Alexandria Monroe vs Sheridan",Football,"Indiana",08/28/2026,07:00 PM,"The Sheridan varsity football team has an away non-conference game @ Alexandria Monroe (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/alexandria-monroe-vs-sheridan/8-28-2026/?c=a88df145-200b-4edb-aedf-8fc38f9e58de","https://www.maxpreps.com/in/football/game/alexandria-monroe-vs-sheridan/8-28-2026/?c=a88df145-200b-4edb-aedf-8fc38f9e58de"
45,"Corydon Central vs Paoli",Football,"Indiana",08/28/2026,07:00 PM,"The Paoli varsity football team has an away non-conference game @ Corydon Central (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/corydon-central-vs-paoli/8-28-2026/?c=7ea6c7a9-3c5f-4fde-abba-925170c847fc","https://www.maxpreps.com/in/football/game/corydon-central-vs-paoli/8-28-2026/?c=7ea6c7a9-3c5f-4fde-abba-925170c847fc"
46,"Rochester vs Tippecanoe Valley Akron",Football,"Indiana",08/28/2026,07:00 PM,"The Tippecanoe Valley Akron varsity football team has an away non-conference game @ Rochester (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/rochester-vs-tippecanoe-valley-akron/8-28-2026/?c=65a219b6-4127-4666-b10c-a86bfc7a6bb9","https://www.maxpreps.com/in/football/game/rochester-vs-tippecanoe-valley-akron/8-28-2026/?c=65a219b6-4127-4666-b10c-a86bfc7a6bb9"
